Group,Name,Category,Description,ID Tag,Price,Weight,Width,Length,Height,Last inventory date,Expiry Date,Purchase date,Quantity unit,Stock Shortage,Default quantity,Storage 1,Quantity 1,Storage 2,Quantity 2,Storage 3,Quantity 3,Storage 4,Quantity 4,Storage 5,Quantity 5,Supplier 1,Supplier 1 price,Supplier 2,Supplier 2 price,Supplier 3,Supplier 3 price,Supplier 4,Supplier 4 price,Supplier 5,Supplier 5 price,Group property 1,Group property 2,Group property 3,Group property 4,Group property 5,Group property 6,Group property 7,Group property 8,Group property 9,Group property 10,Optimal Quantity,Category (full path),
Sample Group,74LS01P,TRANSISTOR,,,5,,,,,,,,,1,10,B3B1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS02N,TRANSISTOR,,,5,,,,,,,,,1,9,B3B1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS04P,TRANSISTOR,,,3,,,,,,,,,1,21,B3B1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS07N,TRANSISTOR,,,3,,,,,,,,,1,4,B3B1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS08N,TRANSISTOR,,,3,,,,,,,,,1,23,B3B2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS11N,TRANSISTOR,,,4,,,,,,,,,1,8,B3B2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS123N,TRANSISTOR,,,5,,,,,,,,,1,14,B3B4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS138N,TRANSISTOR,,,5,,,,,,,,,1,4,B3B4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS139N,TRANSISTOR,,,5,,,,,,,,,1,20,B3B4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS13PC,TRANSISTOR,,,4,,,,,,,,,1,1,B3B2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS14N,TRANSISTOR,,,3,,,,,,,,,1,15,B3B2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS157,TRANSISTOR,,,5,,,,,,,,,1,1,B3B4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS158,TRANSISTOR,,,3,,,,,,,,,1,9,B3B4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS193P,TRANSISTOR,,,5,,,,,,,,,1,19,B3B4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS21P,TRANSISTOR,,,4,,,,,,,,,1,10,B3B2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS244N,TRANSISTOR,,,4,,,,,,,,,1,7,B3B5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS245N,TRANSISTOR,,,4,,,,,,,,,1,4,B3B5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS27,TRANSISTOR,,,4,,,,,,,,,1,10,B3B2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS283,TRANSISTOR,,,4,,,,,,,,,1,8,B3B5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS32N,TRANSISTOR,,,3.5,,,,,,,,,1,13,B3B3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS32P,TRANSISTOR,,,3.5,,,,,,,,,1,11,B3B3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS368AN,TRANSISTOR,,,5,,,,,,,,,1,4,B3B5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS373N,TRANSISTOR,,,5,,,,,,,,,1,9,B3B5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS375N,TRANSISTOR,,,5,,,,,,,,,1,10,B3B6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS377N,TRANSISTOR,,,5,,,,,,,,,1,10,B3B6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS47N,TRANSISTOR,,,5,,,,,,,,,1,4,B3B3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS48N,TRANSISTOR,,,8,,,,,,,,,1,10,B3B3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS76AN,TRANSISTOR,,,5,,,,,,,,,1,1,B3B3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS86,TRANSISTOR,,,5,,,,,,,,,1,15,B3B3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS90N,TRANSISTOR,,,5,,,,,,,,,1,15,B3B3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,7511,INTEGRADO,,,,,,,,,,,,1,3,B2A14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7805,INTEGRADO,,,2.5,,,,,,,,,1,6,A2A6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7806,INTEGRADO,,,2.5,,,,,,,,,1,0,A2A6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7808,INTEGRADO,,,5,,,,,,,,,1,10,A2A6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7809,INTEGRADO,,,,,,,,,,,,1,4,A2A6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7810,INTEGRADO,,,2,,,,,,,,,1,20,A2A6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7812,INTEGRADO,,,2,,,,,,,,,1,2,A2A6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7812R,INTEGRADO,4PATA8,,3.5,,,,,,,,,1,3,A2A6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7815,INTEGRADO,,,3,,,,,,,,,1,10,A2A6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7824,INTEGRADO,,,2,,,,,,,,,1,11,A2A6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,78R05,TRANSISTOR,,,5,,,,,,,,,1,3,A2C8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,78R08,TRANSISTOR,,,6,,,,,,,,,1,8,A2C8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,78R12,TRANSISTOR,,,6,,,,,,,,,1,10,A2A5,1,A2C8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,78R33,TRANSISTOR,,,4,,,,,,,,,1,18,A2C8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,7905,INTEGRADO,,,2.5,,,,,,,,,1,14,A2A12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7906,INTEGRADO,,,2,,,,,,,,,1,0,A2A12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7909,INTEGRADO,,,5,,,,,,,,,1,9,A2A12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7912,INTEGRADO,7915,,2,,,,,,,,,1,1,A2A12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7915,INTEGRADO,,,2,,,,,,,,,1,60,A2A12,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,79L05,INTEGRADO,,,2,,,,,,,,,1,15,A2A12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7N60,INTEGRADO,,,6,,,,,,,,,1,3,B2A6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7N70,INTEGRADO,,,7,,,,,,,,,1,0,B2A6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7N80,INTEGRADO,,,7,,,,,,,,,1,1,B2A6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,7NK80,INTEGRADO,,,7,,,,,,,,,1,4,B2A6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,80N60,INTEGRADO,,,24,,,,,,,,,1,3,B2A11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,8N60,INTEGRADO,,,6,,,,,,,,,1,2,B2A6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,8N80,INTEGRADO,,,8,,,,,,,,,1,2,B2A6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,93C06B1,INTEGRADO,,,8,,,,,,,,,1,6,B2A12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,93C46,INTEGRADO,,,6,,,,,,,,,1,12,B2A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,93C46C23,INTEGRADO,,,8,,,,,,,,,1,0,B2A12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,93C46CB3,INTEGRADO,,,8,,,,,,,,,1,7,B2A12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,93C56,INTEGRADO,,,8,,,,,,,,,1,5,B2A12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,9NK65,INTEGRADO,,,9,,,,,,,,,1,2,B2A6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,9NK70,INTEGRADO,,,9,,,,,,,,,1,3,B2A6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,9NK90,INTEGRADO,,,8,,,,,,,,,1,17,B2A5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,9RF11,INTEGRADO,,,9,,,,,,,,,1,6,B2A5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,A-Male/B-Male USB2 Cable-8',USB cables,"Connect all your USB devices with the Ultra A-Male to B-Male USB 2.0 Cable. This 8-foot, A-Male to B-Male cable makes it easy to connect with a fast transfer rate of up to 480Mbps. Compatible with both PC and Mac, the Ultra A-Male to B-Male USB 2.0 Cable supports plug and play for scanners, printers and more! Additionally, it is backwards compatible with USB 1.0 and 1.1",9782253170242,8.99,0.091,,2.438,,20260201,,,,10,0,shelf 1A,11,shelf 2A,15,,,,,,,Dell Computers,5.5,Kiwi Objects,5.3,,,,,,,white,value attr2,,,,,,,,,,Computer Stuff/cables/USB cables,
