codigo,cantidad,producto,descripcion,precio,ubicacion,precioCompra,ultimoProveedor,imagen,stockMinimo,categoria
,,6174Z-1036A,,32.0,A1,16.0,,,1.0,FLYBACK
,,6174Z-2001A,,38.0,A1,19.0,,,1.0,FLYBACK
,,6174Z-2001C,,35.0,A1,17.5,,,1.0,FLYBACK
,,6174Z-2001D,,35.0,A1,17.5,,,1.0,FLYBACK
,,6174Z-2001J,,35.0,A1,17.5,,,1.0,FLYBACK
,,6174Z-6006H FlyBack,,,A1,,,,1.0,FLYBACK
,,6N136,,10.0,B2A4,5.0,,,1.0,MOSFET
,,6N60,,6.0,B2A4,3.0,,,1.0,MOSFET
,,70N06,,6.0,B2A11,3.0,,,1.0,MOSFET
,,74154N,,10.0,B3B6,5.0,,,1.0,INTEGRADO
,,74HC32A,,4.0,B3B6,2.0,,,1.0,TRANSISTOR
,,74LS00P,,5.0,B3B1,2.5,,,1.0,TRANSISTOR
,,74LS01P,,5.0,B3B1,2.5,,,1.0,TRANSISTOR
,,74LS02N,,5.0,B3B1,2.5,,,1.0,TRANSISTOR
,,74LS04P,,3.0,B3B1,1.5,,,1.0,TRANSISTOR
,,74LS07N,,3.0,B3B1,1.5,,,1.0,TRANSISTOR
,,74LS08N,,3.0,B3B2,1.5,,,1.0,TRANSISTOR
,,74LS11N,,4.0,B3B2,2.0,,,1.0,TRANSISTOR
,,74LS123N,,5.0,B3B4,2.5,,,1.0,TRANSISTOR
,,74LS138N,,5.0,B3B4,2.5,,,1.0,TRANSISTOR
,,74LS139N,,5.0,B3B4,2.5,,,1.0,TRANSISTOR
,,74LS13PC,,4.0,B3B2,2.0,,,1.0,TRANSISTOR
,,74LS14N,,3.0,B3B2,1.5,,,1.0,TRANSISTOR
,,74LS157,,5.0,B3B4,2.5,,,1.0,TRANSISTOR
,,74LS158,,3.0,B3B4,1.5,,,1.0,TRANSISTOR
,,74LS193P,,5.0,B3B4,2.5,,,1.0,TRANSISTOR
,,74LS21P,,4.0,B3B2,2.0,,,1.0,TRANSISTOR
,,74LS244N,,4.0,B3B5,2.0,,,1.0,TRANSISTOR
,,74LS245N,,4.0,B3B5,2.0,,,1.0,TRANSISTOR
,,74LS27,,4.0,B3B2,2.0,,,1.0,TRANSISTOR
,,74LS283,,4.0,B3B5,2.0,,,1.0,TRANSISTOR
,,74LS32N,,3.5,B3B3,1.75,,,1.0,TRANSISTOR
,,74LS32P,,3.5,B3B3,1.75,,,1.0,TRANSISTOR
,,74LS368AN,,5.0,B3B5,2.5,,,1.0,TRANSISTOR
,,74LS373N,,5.0,B3B5,2.5,,,1.0,TRANSISTOR
,,74LS375N,,5.0,B3B6,2.5,,,1.0,TRANSISTOR
,,74LS377N,,5.0,B3B6,2.5,,,1.0,TRANSISTOR
,,74LS47N,,5.0,B3B3,2.5,,,1.0,TRANSISTOR
,,74LS48N,,8.0,B3B3,4.0,,,1.0,TRANSISTOR
,,74LS76AN,,5.0,B3B3,2.5,,,1.0,TRANSISTOR
,,74LS86,,5.0,B3B3,2.5,,,1.0,TRANSISTOR
,,74LS90N,,5.0,B3B3,2.5,,,1.0,TRANSISTOR
,,7511,,,B2A14,,,,1.0,INTEGRADO
,,7805,,2.5,A2A6,1.25,,,1.0,INTEGRADO
,,7806,,2.5,A2A6,1.25,,,1.0,INTEGRADO
,,7808,,5.0,A2A6,2.5,,,1.0,INTEGRADO
,,7809,,,A2A6,,,,1.0,INTEGRADO
,,7810,,2.0,A2A6,1.0,,,1.0,INTEGRADO
,,7812,,2.0,A2A6,1.0,,,1.0,INTEGRADO
,,7812R,4PATA8,3.5,A2A6,1.75,,,1.0,INTEGRADO
,,7815,,3.0,A2A6,1.5,,,1.0,INTEGRADO
,,7824,,2.0,A2A6,1.0,,,1.0,INTEGRADO
,,78R05,,5.0,A2C8,2.5,,,1.0,TRANSISTOR
,,78R08,,6.0,A2C8,3.0,,,1.0,TRANSISTOR
,,78R12,,6.0,A2A5,3.0,,,1.0,TRANSISTOR
,,78R33,,4.0,A2C8,2.0,,,1.0,TRANSISTOR
,,7905,,2.5,A2A12,1.25,,,1.0,INTEGRADO
,,7906,,2.0,A2A12,1.0,,,1.0,INTEGRADO
,,7909,,5.0,A2A12,2.5,,,1.0,INTEGRADO
,,7912,7915,2.0,A2A12,1.0,,,1.0,INTEGRADO
,,7915,,2.0,A2A12,1.0,,,1.0,INTEGRADO
,,79L05,,2.0,A2A12,1.0,,,1.0,INTEGRADO
,,7N60,,6.0,B2A6,3.0,,,1.0,MOSFET
,,7N70,,7.0,B2A6,3.5,,,1.0,MOSFET
,,7N80,,7.0,B2A6,3.5,,,1.0,MOSFET
,,7NK80,,7.0,B2A6,3.5,,,1.0,MOSFET
,,80N60,,24.0,B2A11,12.0,,,1.0,MOSFET
,,8N60,,6.0,B2A6,3.0,,,1.0,MOSFET
,,8N80,,8.0,B2A6,4.0,,,1.0,MOSFET
,,93C06B1,,8.0,B2A12,4.0,,,1.0,INTEGRADO
,,93C46,,6.0,B2A12,3.0,,,1.0,INTEGRADO
,,93C46C23,,8.0,B2A12,4.0,,,1.0,INTEGRADO
,,93C46CB3,,8.0,B2A12,4.0,,,1.0,INTEGRADO
,,93C56,,8.0,B2A12,4.0,,,1.0,INTEGRADO
,,9NK65,,9.0,B2A6,4.5,,,1.0,MOSFET
,,9NK70,,9.0,B2A6,4.5,,,1.0,MOSFET
,,9NK90,,8.0,B2A5,4.0,,,1.0,MOSFET
,,9RF11,,9.0,B2A5,4.5,,,1.0,MOSFET
,,A-Male/B-Male USB2 Cable-8',"Connect all your USB devices with the Ultra A-Male to B-Male USB 2.0 Cable. This 8-foot, A-Male to B-Male cable makes it easy to connect with a fast transfer rate of up to 480Mbps. Compatible with both PC and Mac, the Ultra A-Male to B-Male USB 2.0 Cable supports plug and play for scanners, printers and more! Additionally, it is backwards compatible with USB 1.0 and 1.1",8.99,shelf 1A,4.495,,,10.0,USB cables
,,A1012Y,ECG378,3.0,B1D4,1.5,,,1.0,TRANSISTOR
,,A1015,ECG290A,1.0,B1D4,0.5,,,1.0,TRANSISTOR
,,A1020,,1.0,B1D4,0.5,,,1.0,TRANSISTOR
,,A1020Y,ECG25,1.0,B1D4,0.5,,,1.0,TRANSISTOR
,,A1048,,1.0,B1D4,0.5,,,1.0,TRANSISTOR
,,A114,ECG2356,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A1220,ECG374,2.0,B1D4,1.0,,,1.0,TRANSISTOR
,,A1221,,1.0,B1D4,0.5,,,1.0,TRANSISTOR
,,A124,ECG2358,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A1241Y,ECG2527,2.0,B1D4,1.0,,,1.0,TRANSISTOR
,,A1263,ECG37,8.0,B1D5,4.0,,,1.0,TRANSISTOR
,,A1266,,1.0,B1D5,0.5,,,1.0,TRANSISTOR
,,A1271,ECG383,1.0,B1D5,0.5,,,1.0,TRANSISTOR
,,A1273,ECG12,1.0,B1D5,0.5,,,1.0,TRANSISTOR
,,A1294,NO TIENE ECG,8.0,B1D5,4.0,,,1.0,TRANSISTOR
,,A1302,ECG2329,,,,,,1.0,TRANSISTOR
,,A1306,ECG2577,5.0,B1D6,2.5,,,1.0,TRANSISTOR
,,A1357,ECG2514,2.0,B1D6,1.0,,,1.0,TRANSISTOR
,,A1370,ECG2366,1.0,B1D6,0.5,,,1.0,TRANSISTOR
,,A143,ECG123AP,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A144,ECG2360,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A1494,ECG59,,,,,,,TRANSISTOR
,,A1516,ECG2329,8.0,B1D6,4.0,,,1.0,TRANSISTOR
,,A1560,,1.0,B1D6,0.5,,,1.0,TRANSISTOR
,,A1668,ECG2577,5.0,B1D7,2.5,,,1.0,TRANSISTOR
,,A1837,ECG2647,5.0,B1D7,2.5,,,1.0,TRANSISTOR
,,A1941,ECG37,7.0,B1D7,3.5,,,1.0,TRANSISTOR
,,A1943,ECG2329,,,,,,,TRANSISTOR
,,A341,,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A4051,,6.0,B1D7,3.0,,,1.0,TRANSISTOR
,,A5218,,8.0,A2A1,4.0,,,1.0,INTEGRADO
,,A564,ECG290A,1.0,B1D1,0.5,,,1.0,TRANSISTOR
,,A6053,,12.0,A2A1,6.0,,,1.0,INTEGRADO
,,A614,ECG242,3.0,B1D1,1.5,,,1.0,TRANSISTOR
,,A6159,,8.0,A2A1,4.0,,,1.0,INTEGRADO
,,A6252,,12.0,A2A1,6.0,,,1.0,INTEGRADO
,,A6259,,8.0,A2A1,4.0,,,1.0,INTEGRADO
,,A634,ECG187,3.0,B1D1,1.5,,,1.0,TRANSISTOR
,,A6351,,6.0,A2A1,3.0,,,1.0,INTEGRADO
,,A643,ECG159,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A699,NO TIENE ECG,3.0,B1D2,1.5,,,1.0,TRANSISTOR
,,A708,ECG129P,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A733,ECG290A,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A7675,,3.0,B1D7,1.5,,,1.0,TRANSISTOR
,,A7C,,3.0,A2A1,1.5,,,1.0,TRANSISTOR
,,A844,ECG234,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A893,NO TIENE ECG,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A928,ECG25,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A930,ECG234,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A935,ECG298,1.0,B1D2,0.5,,,1.0,TRANSISTOR
,,A940,ECG398,3.0,B1D3,1.5,,,1.0,TRANSISTOR
,,A950,ECG290A,1.0,B1D3,0.5,,,1.0,TRANSISTOR
,,A966,ECG294,1.0,B1D3,0.5,,,1.0,TRANSISTOR
,,A979,NO TIENE ECG,1.0,B1D3,0.5,,,1.0,TRANSISTOR
,,A999,ECG290A,1.0,B1D3,0.5,,,1.0,TRANSISTOR
,,AN6552,,,A2A1,,,,1.0,INTEGRADO
,,ATML340,,,A2A1,,,,1.0,INTEGRADO
,,ATML650,,,A2A1,,,,1.0,INTEGRADO
,,B1068,ECG12,1.0,B1D14,0.5,,,1.0,TRANSISTOR
,,B1098,ECG2344,6.0,B1D14,3.0,,,1.0,TRANSISTOR
,,B1185,ECG2674,5.0,B1D14,2.5,,,1.0,TRANSISTOR
,,B1237,ECG21,2.0,B1D14,1.0,,,1.0,TRANSISTOR
,,B1240,,2.0,B1D14,1.0,,,1.0,TRANSISTOR
,,B1243,NO TIENE ECG,2.0,B1D14,1.0,,,1.0,TRANSISTOR
,,B1274,ECG121,5.0,B1D15,2.5,,,1.0,TRANSISTOR
,,B1318,NO TIENE ECG,2.0,B1D15,1.0,,,1.0,TRANSISTOR
,,B1329,NO TIENE ECG,3.0,B1D15,1.5,,,1.0,TRANSISTOR
,,B1340,NO TIENE ECG,6.0,B1D15,3.0,,,1.0,TRANSISTOR
,,B1342,ECG262,4.0,B1C1,2.0,,,1.0,TRANSISTOR
,,B1370,ECG378,5.0,B1C1,2.5,,,1.0,TRANSISTOR
,,B1375,,5.0,B1C1,2.5,,,1.0,TRANSISTOR
,,B1566,ECG2674,5.0,B1C1,2.5,,,1.0,TRANSISTOR
,,B1624,ECG2686,9.0,B1C1,4.5,,,1.0,TRANSISTOR
,,B1686,NO TIENE ECG,5.0,B1C1,2.5,,,1.0,TRANSISTOR
,,B492,ECG176,2.0,B1D11,1.0,,,1.0,TRANSISTOR
,,B511,ECG187,3.0,B1D11,1.5,,,1.0,TRANSISTOR
,,B544,ECG294,2.0,B1D11,1.0,,,1.0,TRANSISTOR
,,B560,ECG383,1.0,B1D11,0.5,,,1.0,TRANSISTOR
,,B596,ECG242,3.0,B1D11,1.5,,,1.0,TRANSISTOR
,,B641-Q,ECG19,2.0,B1D11,1.0,,,1.0,TRANSISTOR
,,B642,,2.0,B1D11,1.0,,,1.0,TRANSISTOR
,,B649,ECG374,3.0,B1D12,1.5,,,1.0,TRANSISTOR
,,B716,NO TIENE ECG,1.0,B1D12,0.5,,,1.0,TRANSISTOR
,,B772,ECG185,2.0,B1D12,1.0,,,1.0,TRANSISTOR
,,B817,ECG37,6.0,B1D12,3.0,,,1.0,TRANSISTOR
,,B824,ECG378,3.0,B1D13,1.5,,,1.0,TRANSISTOR
,,B834,ECG153,3.0,B1D13,1.5,,,1.0,TRANSISTOR
,,B836,,4.0,B1D13,2.0,,,1.0,TRANSISTOR
,,B892,ECG2364,2.0,B1D13,1.0,,,1.0,TRANSISTOR
,,BA05T,NO TIENE ECG,8.0,B1C1,4.0,,,1.0,TRANSISTOR
,,BA5417,,6.0,A2A2,3.0,,,1.0,INTEGRADO
,,BC548,ECG123AP,1.0,B1C2,0.5,,,1.0,TRANSISTOR
,,BC558,ECG159,1.0,B1C2,0.5,,,1.0,TRANSISTOR
,,BC636,,1.0,B1C2,0.5,,,1.0,TRANSISTOR
,,BD135,ECG375,2.0,B1C2,1.0,,,1.0,TRANSISTOR
,,BD233,ECG184,3.0,B1C2,1.5,,,1.0,TRANSISTOR
,,BD234,ECG185,4.0,B1C2,2.0,,,1.0,TRANSISTOR
,,BD237,ECG184,3.0,B1C2,1.5,,,1.0,TRANSISTOR
,,BD243,ECG377,3.0,B1C3,1.5,,,1.0,TRANSISTOR
,,BD434,,3.0,B1C3,1.5,,,1.0,TRANSISTOR
,,BD435,,3.0,B1C3,1.5,,,1.0,TRANSISTOR
,,BD677,ECG253,3.0,B1C3,1.5,,,1.0,TRANSISTOR
,,BD680,ECG254,,B1C3,,,,1.0,TRANSISTOR
,,BD681,NO TIENE ECG,3.0,B1C3,1.5,,,1.0,TRANSISTOR
,,BDX53C,ECG263,3.0,B1C4,1.5,,,1.0,TRANSISTOR
,,BF324,ECG395,2.0,B1C4,1.0,,,1.0,TRANSISTOR
,,BSC25-5519,,45.0,A1,22.5,,,1.0,FLYBACK
,,BSC25-N0329,,40.0,A1,20.0,,,1.0,FLYBACK
,,BSC25-T1029,,50.0,A1,25.0,,,1.0,FLYBACK
,,BSC59J,,30.0,A1,15.0,,,1.0,FLYBACK
,,BT134,,2.0,B1C4,1.0,,,1.0,TRANSISTOR
,,BT136,,2.0,A2A3,1.0,,,1.0,TRANSISTOR
,,BT137,,3.0,A2A3,1.5,,,1.0,TRANSISTOR
,,BT138,,2.5,A2A3,1.25,,,1.0,TRANSISTOR
,,BT139,,3.0,B1C4,1.5,,,1.0,TRANSISTOR
,,BT151,,2.5,A2A4,1.25,,,1.0,TRANSISTOR
,,BT152,,4.0,A2A4,2.0,,,1.0,TRANSISTOR
,,BT169,,2.0,A2A4,1.0,,,1.0,TRANSISTOR
,,BTA06,,,A2A2,,,,1.0,TRANSISTOR
,,BTA08,,3.0,A2A2,1.5,,,1.0,TRANSISTOR
,,BTA12,,4.0,A2A2,2.0,,,1.0,TRANSISTOR
,,BTA134,,3.0,A2A2,1.5,,,1.0,TRANSISTOR
,,BTA16,,5.0,A2A2,2.5,,,1.0,TRANSISTOR
,,BTA41-600B,,13.0,A2A3,6.5,,,1.0,TRANSISTOR
,,BU1506DX,NO TIENE ECG,6.0,B1C6,3.0,,,1.0,TRANSISTOR
,,BU2090,NO TIENE ECG,20.0,B1C6,10.0,,,1.0,TRANSISTOR
,,BU2506DF,ECG2331,10.0,B1C6,5.0,,,1.0,TRANSISTOR
,,BU2508AF,ECG2354,8.0,B1C7,4.0,,,1.0,TRANSISTOR
,,BU2508DF,ECG2353,8.0,B1C7,4.0,,,1.0,TRANSISTOR
,,BU2520AX,ECG2354,8.0,B1C8,4.0,,,1.0,TRANSISTOR
,,BU2520DF,ECG2353,9.0,B1C8,4.5,,,1.0,TRANSISTOR
,,BU2527AX,ECG2365,9.0,B1C9,4.5,,,1.0,TRANSISTOR
,,BU2527DF,NO TIENE ECG,9.0,B1C9,4.5,,,1.0,TRANSISTOR
,,BU426,ECG2310,6.0,B1C6,3.0,,,1.0,TRANSISTOR
,,BU4508DX,,10.0,B1C10,5.0,,,1.0,TRANSISTOR
,,BU508D,ECG2318,7.0,B1C6,3.5,,,1.0,TRANSISTOR
,,BUH517D,,8.0,B1C11,4.0,,,1.0,TRANSISTOR
,,BUK444,ECG2388,,B1C11,,,,1.0,TRANSISTOR
,,BUK9507,,,B1C11,,,,1.0,TRANSISTOR
,,BUL312,,5.0,A2A4,2.5,,,1.0,TRANSISTOR
,,BUL312FP,,5.0,B1C12,2.5,,,1.0,TRANSISTOR
,,BUT11,,4.0,B1C12,2.0,,,1.0,TRANSISTOR
,,BUT11APX,ECG2333,4.0,B1C12,2.0,,,1.0,TRANSISTOR
,,BUW84,ECG2313,9.0,B1C13,4.5,,,1.0,TRANSISTOR
,,BUX84,ECG2313,3.0,B1C13,1.5,,,1.0,TRANSISTOR
,,BUZ11,ECG2389,5.0,B1C13,2.5,,,1.0,TRANSISTOR
,,BX6044,,,A2A5,,,,1.0,TRANSISTOR
,,BX6087,,,A2A5,,,,1.0,TRANSISTOR
,,BX7040,,,A2A5,,,,1.0,TRANSISTOR
,,C1060,NPN MEDIANO 3A 50V 25W 150 °C  ECG152,,,,,,,TRANSISTOR
,,C106D,NPN CHICO 0.05A 30V 0.25W 150 °C,3.0,B2D1,1.5,,,1.0,TRANSISTOR
,,C106M,,3.0,B2D1,1.5,,,1.0,TRANSISTOR
,,C1096,NPN MEDIANO 3A 40V 10W 150 °C ECG186A,3.0,B2D2,1.5,,,1.0,TRANSISTOR
,,C110,NPN CHICO 0.2A 40V 0.75W 150 °C,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C114,NPN CHICO 0.2A 50V 0.75W 150 °C  ECG128,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C114Y,,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C124,NPN CHICO 0.025A 40V 0.25W 150 °C,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C1313,NPN CHICO 0.1A 50V 0.2W 150 °C  ECG199,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C1360,NPN CHICO 0.1A 50V 0.65W 150 °C  ECG199,,,,,,,TRANSISTOR
,,C1368,NPN CHICO 1.5A 25V 8W 125 °C  ECG184,,,,,,,TRANSISTOR
,,C138,NPN CHICO 0.5A 60V 0.8W 175 °C  ECG123AP,,,,,,,TRANSISTOR
,,C1383,NPN CHICO 1.5A 30V 0.75W 175 °C  ECG293,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C143,NPN CHICO 0.2A 40V 0.36W 175 °C  ECG123AP,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C144ESY,NPN CHICO 0.2A 50V 0.36W 175 °C,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C144K,ECG123AP,1.0,B2D1,0.5,,,1.0,TRANSISTOR
,,C1470,NPN MEDIANO 30A 450V 200W 175 °C   NO TIENE ECG,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C1473,ECG399,1.0,B2D3,0.5,,,1.0,TRANSISTOR
,,C1475,ECG315,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C1507,ECG198.  =C2023,3.0,B2D3,1.5,,,1.0,TRANSISTOR
,,C1509,ECG297,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C1627,,2.0,B2D3,1.0,,,1.0,TRANSISTOR
,,C1740,ECG85,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C1810, ECG80,3.0,B2D4,1.5,,,1.0,TRANSISTOR
,,C1841,ECG90,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C1845,ECG2696,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C1890,ECG90,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C1984,,4.0,B2D4,2.0,,,1.0,TRANSISTOR
,,C2001,ECG85,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C2026,ECG23,1.0,B2D4,0.5,,,1.0,TRANSISTOR
,,C2053,ECG340,2.0,B2D4,1.0,,,1.0,TRANSISTOR
,,C2061,ECG297,2.0,B2D5,1.0,,,1.0,TRANSISTOR
,,C2068,ECG376,3.0,B2D5,1.5,,,1.0,TRANSISTOR
,,C2070,ECG123A,3.0,B2D5,1.5,,,1.0,TRANSISTOR
,,C2073,ECG375,3.0,B2D5,1.5,,,1.0,TRANSISTOR
,,C2078,ECG235,3.0,B2D5,1.5,,,1.0,TRANSISTOR
,,C2092,ECG2354,4.0,B2D6,2.0,,,1.0,TRANSISTOR
,,C2120,ECG289A,1.0,B2D6,0.5,,,1.0,TRANSISTOR
,,C2230,,1.0,B2D6,0.5,,,1.0,TRANSISTOR
,,C2231,ECG2541,3.0,B2D6,1.5,,,1.0,TRANSISTOR
,,C2233,ECG51,3.0,B2D6,1.5,,,1.0,TRANSISTOR
,,C2234,,3.0,B2D6,1.5,,,1.0,TRANSISTOR
,,C2236,ECG382,2.0,B2D6,1.0,,,1.0,TRANSISTOR
,,C2240,ECG2696,2.0,B2D6,1.0,,,1.0,TRANSISTOR
,,C2258,ECG2501,3.0,B2D7,1.5,,,1.0,TRANSISTOR
,,C2259,NO TIENE ECG,3.0,B2D7,1.5,,,1.0,TRANSISTOR
,,C2270,NO TIENE ECG,3.0,B2D7,1.5,,,1.0,TRANSISTOR
,,C2274,ECG289A,1.0,B2D7,0.5,,,1.0,TRANSISTOR
,,C2317,NO TIENE ECG,5.0,B2D7,2.5,,,1.0,TRANSISTOR
,,C2320,ECG85,2.0,B2D7,1.0,,,1.0,TRANSISTOR
,,C2321,NO TIENE ECG,,,,,,,TRANSISTOR
,,C2328,NO TIENE ECG,2.0,B2D7,1.0,,,1.0,TRANSISTOR
,,C2330,,2.0,B2D7,1.0,,,1.0,TRANSISTOR
,,C2331,ECG293,2.0,B2D8,1.0,,,1.0,TRANSISTOR
